timestamp,log_type,message,stacktrace
0.46,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at <f3aa2b8a4d6542feaec3a5d5088707fc>:0).  
0.48,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at <f3aa2b8a4d6542feaec3a5d5088707fc>:0).  
0.5,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at <f3aa2b8a4d6542feaec3a5d5088707fc>:0).  
0.52,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at <f3aa2b8a4d6542feaec3a5d5088707fc>:0).  
0.54,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at <f3aa2b8a4d6542feaec3a5d5088707fc>:0).  
0.56,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at <f3aa2b8a4d6542feaec3a5d5088707fc>:0).  
0.58,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at <f3aa2b8a4d6542feaec3a5d5088707fc>:0).  
0.6,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at <f3aa2b8a4d6542feaec3a5d5088707fc>:0).  
0.62,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at <f3aa2b8a4d6542feaec3a5d5088707fc>:0).  
0.64,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at <f3aa2b8a4d6542feaec3a5d5088707fc>:0).  
0.66,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at <f3aa2b8a4d6542feaec3a5d5088707fc>:0).  
0.68,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at <f3aa2b8a4d6542feaec3a5d5088707fc>:0).  
