ppid,ppt,met,observed,coord,met_type,pendulum_A,pendulum_B
SOLO1_NM_A,A,No,No,N/A,N/A,,N/A
SOLO2_NM_A,A,No,No,N/A,N/A,,N/A
SOLO1_M_A,A,Yes,No,,,,N/A
SOLO2_M_A,A,Yes,No,,,,N/A
SOLO3_M_A,A,No,No,,,,N/A
SOLO4_M_A,A,No,No,,,,N/A
SOLO5_M_A,A,No,No,,,,N/A
SOLO6_M_A,A,No,No,,,,N/A
,,,,,,,
SOLO1_NM_B,B,No,No,N/A,N/A,N/A,
SOLO2_NM_B,B,No,No,N/A,N/A,N/A,
SOLO1_M_B,B,No,No,,,N/A,
SOLO2_M_B,B,No,No,,,N/A,
SOLO3_M_B,B,No,No,,,N/A,
SOLO4_M_B,B,No,No,,,N/A,
SOLO5_M_B,B,No,No,,,N/A,
SOLO6_M_B,B,No,No,,,N/A,
