timestamp,log_type,message
0,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0,Log,Loaded: C:\Users\SnapAdmin\Documents\GitHub\pendulums\P01_participant_list.csv
0.02,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.04,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.06,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.08,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.09999999,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.12,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.14,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.16,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.18,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.2,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.22,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.24,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.26,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.28,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.3,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.32,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.34,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.36,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.38,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.4,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.42,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.44,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.46,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.48,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.5,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.52,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.54,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.56,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.58,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.6,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.62,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.64,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.66,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.68,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.7,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.72,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.74,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.76,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.78,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.8,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.82,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.84,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.86,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.88,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.9,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.92,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.94,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.96,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.98,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.02,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.04,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.06,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.08,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.1,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.12,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.14,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.16,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.18,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.2,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.22,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.24,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.26,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.28,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.3,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.32,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.34,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.36,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.38,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.4,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.42,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.44,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.46,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.48,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.5,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.52,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.54,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.56,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.58,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.6,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.62,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.64,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.66,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.68,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.7,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.72,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.74,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.76,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.78,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.8,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.82,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.84,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.86,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.88,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.9,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.92,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.94,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.96,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.98,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
2,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
2.02,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
2.04,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
2.06,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
2.08,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
2.1,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
2.12,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
