timestamp,log_type,message,stacktrace
1.22,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
1.24,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
1.26,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
1.28,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
1.3,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
1.32,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
1.34,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
1.36,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
1.38,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
1.4,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
1.42,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
1.44,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
1.46,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
1.48,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
1.5,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
