ppid,ppt,met,observed,coord,met_type,pendulum_A,pendulum_B
INT1,Both,N/A,N/A,,N/A,,
INT2,Both,N/A,N/A,,N/A,,
INT3,Both,N/A,N/A,,N/A,,
INT4,Both,N/A,N/A,,N/A,,
INT5,Both,N/A,N/A,,N/A,,
INT6,Both,N/A,N/A,,N/A,,
